"","C1","C2","C3","E1","E2","E3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpressed","delabel"
"TM9SF2",5022.86917840385,4815.21218317272,4630.61134401689,3502.95652978638,3297.54451736157,3172.33733543314,4073.58851469576,-0.53773289010237,0.0624630875194427,-8.6088106025017,7.38225000287314e-18,4.07095751323732e-17,"DOWN",NA
"LINC01232",60.2314077067699,55.0197678550647,43.4216736880351,49.0235646662216,41.4151891182546,27.8525790368961,46.1606970118737,-0.441014364180008,0.339405740686631,-1.2993721416963,0.193816247388888,0.257350762742045,"NO",NA
"CLYBL",139.822910747859,100.214577164582,82.7079498819716,90.247925862817,85.0690371077662,51.4201459142697,91.5804244465442,-0.523143027527639,0.276129421479845,-1.89455735909628,0.0581510684945153,0.0880452287306207,"NO",NA
"PCCA-DT",438.828827577895,455.878076513393,394.930460686415,350.964156133177,381.691337549319,406.361986461381,404.77580748693,-0.175990583307021,0.121278543251321,-1.45112712099717,0.146744465750335,0.201727733575272,"NO",NA
"PCCA",364.615128796339,437.210655276854,403.201255674612,580.483572525033,631.301801694475,575.619966762519,498.738730121639,0.566432876426238,0.112590727921493,5.03090162825129,4.88178593273276e-07,1.39557374805632e-06,"UP",NA
"GGACT",134.445106488326,84.4946434917065,164.382050390419,101.38964510514,118.648920176621,106.411135294808,118.295250157837,-0.230897108945801,0.240711989096888,-0.959225628154582,0.337445092379229,0.41360420152953,"NO",NA
"TMTC4",1021.78280931128,998.215788227603,1102.08343217727,584.940260221962,526.084834745396,464.923819308188,783.005157331949,-0.991680326922985,0.10225008324187,-9.69857720875581,3.05732113731188e-22,2.03029357046013e-21,"DOWN",NA
"TPP2",3136.33544415966,3025.104736174,3241.11778599976,5206.52540193758,5680.59688581465,5726.20458250853,4335.98080609903,0.821754702737818,0.0618709352196751,13.2817566086588,2.95382534345398e-40,3.43125632796996e-39,"UP",NA
"TEX30",447.433314393148,464.720539204386,479.706109315436,369.905078845126,467.879704092714,464.209650614934,448.975732744291,-0.0935167337814561,0.121623097490324,-0.768906036033953,0.441949093894465,0.519900341448437,"NO",NA
"POGLUT2",174.24085800887,208.289121165602,172.652845378616,211.692665604139,200.359968977502,202.823908884064,195.009894669799,0.145622199763061,0.163009525804101,0.893335521618929,0.371677520833784,0.449402536982987,"NO",NA
"BIVM",383.975224130658,379.243399858125,376.321171962971,188.29505519526,227.223875432586,224.96313837493,296.670310825755,-0.827718212870363,0.136678724395476,-6.05594042914379,1.39599660569532e-09,4.87853392310701e-09,"DOWN",NA
"ERCC5",92.4982332639681,86.459635200816,107.520334846563,99.1613012566755,104.097637513451,133.54954563845,103.881114619987,0.243303405889823,0.226227867455667,1.07547937672843,0.282160160646015,0.355998627623931,"NO",NA
"ARGLU1",4082.82899383748,5411.58716688744,5634.47908570932,5203.18288616488,6132.80597780856,5774.05388495653,5373.1563325607,0.17742628580656,0.0953775781942459,1.86025153045104,0.0628499475590015,0.0944068945656259,"NO",NA
"LIG4",496.909113580852,647.464768151565,800.199415108076,1292.43943210948,1555.86791552362,1455.47579685113,1041.39274022079,1.14572518473279,0.127107378344683,9.01383695937679,1.98970411245053e-19,1.17743937089224e-18,"UP",NA
"ABHD13",529.17593913805,762.416783134468,779.522427637583,805.546301219959,864.122324305204,862.715781450524,767.249926147631,0.289612435882949,0.123463438562746,2.34573440732224,0.0189896336364297,0.0316734156087505,"UP",NA
"IRS2",2432.91864701274,2979.90992686449,3120.15740929738,13866.9837689953,13691.6376566078,16215.9143490195,8717.92029296622,2.35899445997128,0.0850034990375187,27.7517335954614,1.66053199656963e-169,1.48482454111866e-167,"UP",NA
