"","E1","E2","E3","F1","F2","F3","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PIGR",20.6737370725977,17.1054328692052,9.44766812332149,19.1220071575592,24.4284721587725,15.4782345842557,17.709258660952,0.354842793500444,0.516202375454362,0.687410229734242,0.491824253021513,NA
"C1orf116",9.18832758782118,20.5265194430463,17.4418488430551,20.3968076347298,8.4236110892319,21.2825725533515,16.2099478585393,0.0636330011423236,0.558871841675072,0.113859737416006,0.909348982828047,NA
"PFKFB2",1798.615125316,1907.82594601203,1935.31847787732,1972.11633818293,1968.5979115535,2021.8443925684,1934.05303191836,0.0786825052854169,0.0611947776008163,1.28577157022575,0.198522794902294,0.910160284438858
"YOD1",2782.91471816134,3286.52383526997,3036.33518609517,2849.17906647631,2764.62915948591,3019.22313359137,2956.46751651335,-0.0770634042837008,0.0662722084664175,-1.16283138991439,0.244897918719276,0.933883110286748
"CD55",591.498588465989,672.813692855406,732.557651408312,785.277093937096,695.790275970555,845.498564164966,720.572644467054,0.215006681348964,0.103058622349527,2.08625611760811,0.0369554293718374,0.67377771340018
"CD46",1153.13511227156,1222.46826905254,1248.54567968202,1198.31244854037,1059.69027502537,1135.71546261976,1169.6445411986,-0.0987878009194609,0.0761318589643697,-1.29758818795814,0.194428883261337,0.908532005867217
"PLXNA2",228.559648747052,229.21280044735,180.232438044902,271.53250163734,227.437499409261,230.238739440803,227.868937954451,0.196347834567101,0.154899345466657,1.26758337148278,0.204946773277019,0.917824908108177
"RP1-272L16.1",48.2387198360612,17.1054328692052,43.6046221076376,20.3968076347298,32.8520832480044,44.499924429735,34.4495983542289,-0.152703570303704,0.422835166456735,-0.361142077143977,0.717993239787381,NA
"CAMK1G",39.05039224824,27.3686925907284,53.0522902309591,30.5952114520946,36.2215276836972,57.0759900294428,40.5606840391937,0.0421629534886516,0.367259928515034,0.114804121590754,0.908600382103184,NA
"LAMB3",168.835519426214,171.054328692052,175.871975834138,151.701256783303,212.274999448644,195.412711626228,179.191798635097,0.124868950771977,0.169589020022796,0.736303274558654,0.461546153855182,0.971422284924446
"C1orf74",257.273172458993,278.248374672405,289.243993313996,217.990881596174,287.245138142808,280.543001839634,268.424093670669,-0.0649978891568489,0.143045849502873,-0.454385005805734,0.649551742536024,0.987437356283577
"UTP25",1614.84857355957,1615.89322504426,1675.14423263508,1474.9441520864,1547.4173570919,1522.67132722615,1575.15314460723,-0.110149004762388,0.0640539516163438,-1.71962856284237,0.0854999807555513,0.811460601306892
"SYT14",768.373894531547,834.745124017216,876.452904363516,836.26911302392,737.908331416715,874.520254010445,821.378270227226,-0.0225124820512554,0.0918064622235345,-0.245216747340084,0.806288609688224,0.994967510486715
"SERTAD4-AS1",179.172387962513,168.773604309492,222.383572748952,154.250857737644,217.329166102183,204.119218579872,191.004801240109,0.0136620306366908,0.176179253972992,0.077546194166455,0.938189044250753,0.997868024819314
"SERTAD4",615.617948384019,569.040733448895,822.673870430763,799.299899185973,974.611803024131,851.302902134062,772.091192767974,0.382777406383606,0.120549709023331,3.17526611623361,0.00149699145131077,0.197723840579188
"HHAT",929.169627318417,894.043957963794,1097.38298970888,1087.40480702653,1097.59652492692,1086.37858988244,1031.9960828045,0.158855306733239,0.0864609233949335,1.83730754305763,0.0661645069778413,0.767005800080945
"KCNH1",83.8434892388683,90.0886131111476,111.91853007627,95.6100357877958,78.3395831298567,106.412862766758,94.3688523517827,-0.0418612713401942,0.229392729503662,-0.18248735010377,0.855200280835591,0.994967510486715
"KCNH1-IT1",75.8037025995248,61.5795583291389,47.2383406166074,48.4424181324832,53.9111109710842,46.434703752767,55.5683057336009,-0.295140565098848,0.293581684465066,-1.00530987018697,0.314747663855567,0.945306692299434
"PRELID1P5",13.7824913817318,20.5265194430463,10.9011555269094,15.2976057260473,21.9013888320029,27.0869105224474,18.2493452386975,0.538816952271251,0.505983482170489,1.06489039910931,0.286925530208627,NA
"RCOR3",2027.17477406305,2520.20044272957,2691.85867144483,2684.72980492131,2543.93054894803,2526.82179587974,2499.11933966442,0.0968675283189447,0.0827837553142944,1.17012725444962,0.241949762017028,0.933467684727124
"TRAF5",607.578161744676,678.515503811808,662.790256036092,597.881423793016,625.87430392993,611.390266078099,630.671652565604,-0.0866441288534382,0.0920846705286682,-0.940918052440267,0.346746855679163,0.946667159151092
"LINC00467",212.480075468365,220.089902917108,331.395128018046,267.708100205828,305.777082539118,290.216898454794,271.277864600543,0.167373487171285,0.16545585289776,1.01159000567184,0.311734126497219,0.945306692299434
"SLC30A1",4945.61732414475,4333.37632686533,4543.60162361584,4432.48125912221,4583.28679365108,5179.40424775655,4669.62792919263,0.0390761063236894,0.066011699711553,0.591957281730931,0.553879194379333,0.978344753442517
"NEK2",1395.47725240034,1476.76903770805,1423.69091181437,1366.58611152689,1340.1965242968,1512.03004094948,1419.12497978265,-0.0257264113102699,0.0716839197631932,-0.358886782353096,0.719679787996054,0.994342545745431
"LPGAT1",1647.00772011695,1810.8951597532,1798.69066194005,1666.16422366199,1613.12152358791,1765.48613226666,1716.89423688779,-0.0605327053385909,0.0678835242704218,-0.891714241256125,0.372546118259658,0.95619197669865
"INTS7",2549.76090562038,2536.1655134075,2462.20766167794,2396.62489708075,2286.16804961754,2546.16958911006,2462.84943608569,-0.0620419121044578,0.0602375122701346,-1.02995475354678,0.303031246002294,0.945306692299434
"DTL",2684.14019659226,2923.88865844282,2817.58533185519,2836.43106170461,2749.46665952529,2996.9731713765,2834.74751324945,0.0263973016392487,0.0590928444774584,0.446708935280959,0.655085229495691,0.987437356283577
"RPL21P28",65.4668340632259,84.3868021547459,60.3197272488987,53.5416200411656,76.6548609120103,75.4563935982464,69.3043730030488,-0.0125877195520194,0.266428013102698,-0.0472462313757049,0.96231698132958,0.998492331234247
"LINC02608",50.5358017330165,43.3337632686533,38.5174161950799,48.4424181324832,60.6499998424697,40.6303657836711,47.018294159229,0.191147011739081,0.314193193412291,0.608374133325843,0.542939363172423,0.977162433545543
"PPP2R5A",1551.6788213933,1591.94561902737,1471.65599613277,1627.92020934687,1509.51110719036,1490.74746839612,1540.57653691447,0.00397545881047238,0.0684597150794976,0.0580700460972698,0.95369283386793,0.998492331234247
"PACC1",557.042360011659,634.041378351875,504.360129045009,558.362609000727,595.549304008696,593.977252170811,573.888838764796,0.0504948762288202,0.104632559710329,0.482592382033023,0.629385189223141,0.98651391744934
