"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDCA7",1295.81386331404,0.0771320840277793,0.0718486187439314,1.07353607315233,0.283030662530719,0.948166711653578
"SP3",4354.3593526499,0.0587558778619864,0.0628245206364152,0.935237981393042,0.349665668729656,0.952081344959189
"OLA1",3896.28938007816,-0.00119418236640198,0.0501231228890636,-0.0238249793223186,0.980992215084635,0.998710430067859
"CIR1",1786.22224277735,-0.0350726223128105,0.0721852713734501,-0.485869508356663,0.627059688412678,0.987978888356528
"SCRN3",460.41825890554,0.0174340385273113,0.105746354322252,0.164866568110544,0.869049007044765,0.995551787914465
"GPR155",288.193747655024,0.0835631617146454,0.141548319150288,0.590350787747063,0.55495549648072,0.978955796553835
"AC010894.3",37.6332250256453,0.400447068970031,0.376178034742896,1.06451475627417,0.28709557325927,0.948166711653578
"WIPF1",838.201940784032,0.0312798619899143,0.0829108745546337,0.377270920828396,0.705972280078163,0.991936892172193
"H3P6",381.349859587991,0.0353855443332726,0.11571504318929,0.305798998626202,0.759757690952056,0.995551787914465
"CHN1",517.01849295157,-0.0327611520371791,0.115292888667459,-0.28415587826646,0.776290926343063,0.995551787914465
"ATF2",3150.67627326527,0.0574774848451895,0.0658235344291689,0.873205690694711,0.382550973618917,0.962354934750474
"ATP5MC3",15566.3035380247,-0.0381566478378511,0.0440294770559845,-0.866615967056208,0.386152461978585,0.962354934750474
"LNPK",1146.73316942446,0.0330491318948063,0.0798877576310196,0.413694574423425,0.679097801044747,0.990489015815528
"HOXD13",454.982839602374,0.240073411473763,0.105608337080602,2.27324298545232,0.0230115412269619,0.606406319059957
"HOXD12",47.9091146244855,0.323879362584531,0.339544929665016,0.953863051066791,0.340152968661942,0.951200475578998
"HOXD-AS2",90.9741841678174,-0.223016759361935,0.25457209010648,-0.876045599769613,0.381005244694997,0.962354934750474
"HOXD9",188.431344294149,0.0722408418057092,0.164598672920652,0.438890791303855,0.660740669551988,0.98925718116444
"HOXD8",156.697024224632,0.562835761749338,0.195463675797723,2.87949031681873,0.00398318529499095,0.311806540109643
"HOXD3",113.017275813157,-0.0517955718596996,0.201555817266312,-0.256978799035421,0.797195139522945,0.995551787914465
"HOXD4",316.936827724277,-0.123746336234316,0.1373409746848,-0.901015421787389,0.367580120111015,0.958667297241346
"HAGLR",1733.38137486539,0.0676437349692673,0.0741649293081532,0.91207172446979,0.361730961880474,0.954678757044958
"HAGLROS",33.1987801605659,0.188663656672216,0.374498754278471,0.503776459912946,0.614418471513807,NA
"HOXD1",460.284558001874,-0.0159609891060523,0.115892627878345,-0.137722212346473,0.89045996376914,0.995551787914465
"AC016739.2",308.119611193364,-0.022226154641361,0.159272903453164,-0.139547620213358,0.889017428539184,0.995551787914465
"MTX2",4255.14971798151,0.0227826582466206,0.0521976325766028,0.436469186857964,0.662496350661219,0.989737587364228
"LINC01117",16.7792009875791,0.75764652103477,0.5143092993399,1.47313401100697,0.140714904194927,NA
"LINC01116",440.805110068651,0.0674102418334539,0.115780866234959,0.582222642009393,0.560416724114152,0.978955796553835
"AC079305.8",32.4896738791393,0.0447941839973352,0.37926542364681,0.118107745142224,0.90598228667262,NA
"HNRNPA3",15534.7073776123,-0.0244681309316486,0.0415575190263695,-0.58877747047707,0.556010561030863,0.978955796553835
"NFE2L2",12521.9691341378,0.0364272153777266,0.0515532232974833,0.706594331988256,0.479818612279531,0.974959963338667
"DNAJC19P5",13.8201031742447,1.03303025266607,0.620223503522771,1.66557740362728,0.0957976148779546,NA
"AC079305.10",23.4197976233476,-1.04812499463395,0.459178627602394,-2.28260840472203,0.0224534454428102,NA
"AC074286.1",30.7810503607706,0.54266691957789,0.405425798901468,1.33851106922225,0.180729894417464,NA
"RP11-337N6.3",9.59249961715487,0.468762552343257,0.667565318257638,0.702197282457301,0.482556140132563,NA
"AGPS",2771.22910584383,0.0665322524281987,0.0600093586148973,1.10869794251862,0.267560509803449,0.945805042729682
"TTC30B",95.5925254500072,-0.0412774461299313,0.249215114584292,-0.165629786133899,0.868448305100157,0.995551787914465
"TTC30A",315.062887941824,-0.19018670064673,0.126511962739976,-1.50331001533528,0.132759118654821,0.866039747716096
"PDE11A",295.469219909134,-0.194271517451505,0.129983053145112,-1.49459112361841,0.135021184134519,0.866482194927259
"RBM45",485.470614135427,0.0588855898308197,0.108155547157173,0.544452793949132,0.5861299244739,0.983455865626216
"OSBPL6",395.840235876155,0.0295088159135703,0.127450648189078,0.231531312965885,0.816902061981378,0.995551787914465
"CHROMR",824.297932991042,0.174620478670612,0.086405116180776,2.02095068427745,0.0432848704018446,0.709193727293869
"PRKRA",1984.81051901542,0.0210829132401852,0.0581549174317224,0.362530189556849,0.716955867642386,0.994662241422574
"PJVK",35.4135359406625,0.0356863269196614,0.378556084264854,0.0942695901690851,0.924895005843523,NA
"FKBP7",512.53115642169,0.0538664597299351,0.119872411736766,0.449364945190417,0.653168414743641,0.988621668592431
"PLEKHA3",1367.62898792248,0.133613078182943,0.0665539845042387,2.00758946557787,0.0446869349182909,0.715482619807988
"TTN-AS1",67.3075877307546,0.0338296802840323,0.302772280787444,0.111733082685274,0.91103504737414,0.995621400230418
"TTN",337.277054708863,-0.0287541621318654,0.135331659926689,-0.212471805543816,0.831738971544246,0.995551787914465
"SESTD1",3175.28596203001,-0.0822174823897212,0.0514961383392686,-1.59657568589033,0.110360322312105,0.844390411904423
"CWC22",5065.87116832175,-0.0215225963299295,0.0487976147275738,-0.441058368325693,0.65917074174113,0.988756349944966
"FTH1P20",29.6837662454431,0.293836066881908,0.382696904327328,0.76780361575798,0.442603866069028,NA
"UBE2E3",1048.56598547264,0.145726475902753,0.0740280089889517,1.96853161246714,0.0490069024789891,0.736240633250445
"LINC01934",28.4440298513499,0.285049167715821,0.474563077428738,0.600656016604293,0.548069119818778,NA
"ITGA4",596.780815558548,0.16575550566293,0.120798710301979,1.37216287532016,0.170012739638138,0.898066877682006
"RP11-366L5.1",27.0074398683152,-0.440824571741747,0.430672759204921,-1.0235719866647,0.306037482352102,NA
"ITPRID2",8728.98946309593,0.0296533823643535,0.0511822736075758,0.579368212356326,0.562340748083334,0.979685669782969
"PDE1A",136.116813584767,0.119616750372634,0.212044647708062,0.564111151427499,0.572678489302726,0.981169110176153
"DNAJC10",4032.81415490555,0.0302049983600883,0.0504652037415221,0.598531188238046,0.54948555504773,0.978955796553835
"FRZB",17.5705438646936,-0.568871466544281,0.516569692934091,-1.10124824263909,0.270788630491585,NA
"NCKAP1",6179.85157452035,0.0536903900987531,0.0518290813843222,1.03591243882231,0.300242994024131,0.950903209566318
