"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHLDB1",2472.04406314141,1.0288202631574,0.657514201277505,1.56471185133108,0.117650488370507,0.574250654029296
"DDX6",2892.79612466569,0.0450434893959573,0.498685554093075,0.0903244319516629,0.92802940561264,0.977472923158534
"RP11-158I9.8",108.994800375021,-3.2960534734626,1.2233115815549,-2.69436954833137,NA,NA
"BCL9L",988.579677972025,1.13042354194309,0.799705307845985,1.41355013009467,0.157494032593802,0.576858688576092
"CENATAC",290.579635632466,0.148172495553755,0.600732013469598,0.246653236770199,0.805176600122851,0.927426718496725
"RPS25",14484.8037990154,-0.377832981194805,0.476861881822867,-0.792332110401629,0.428167053311421,0.732412030782817
"TRAPPC4",1313.4933955885,-1.10045110236918,0.749930011451628,-1.46740507189338,0.142265895598012,0.574250654029296
"SLC37A4",1464.28268401354,0.544031551899318,0.45838592159376,1.18684175554035,0.235290045087691,0.608270902117462
"VPS11",2757.96847480513,0.594383518940264,0.957112479881269,0.62101741585691,0.534588164310907,0.800304597105402
"HMBS",1950.60178037288,0.36052635330438,0.525898642985071,0.685543418134688,0.493001072337724,0.773907489488472
"H2AX",1969.57770949798,0.550292332011833,0.709869839817462,0.775201735790517,0.438220462675441,0.738692951104358
"DPAGT1",1801.13582459914,0.659364352728575,0.812703144639752,0.811322506966369,0.417180488201264,0.725185316715018
"C2CD2L",834.497020316253,-0.190597909575319,0.447112336154086,-0.426286403132556,0.669899164334887,0.866583115279734
"HINFP",594.175641274204,0.037296151276274,0.310437976133708,0.12014042785864,0.904371907504492,0.968383859639006
"NLRX1",356.74917143926,1.20180778381591,0.855256756466358,1.40520115711378,0.159961470172598,0.57802385144818
"CBL",1931.79141505153,0.262951450893668,0.484849540920753,0.54233618617914,0.587586931615149,0.829658853625211
"MCAM",29153.4702389348,0.852105397493183,0.60466970132884,1.40920802815251,0.158773664577024,0.577285144149678
"USP2",167.25764853519,0.429684070034019,0.597900112132999,0.718655275880662,0.4723533462796,0.760730105511903
"NECTIN1",458.00149680093,0.352177284624776,0.452834813548545,0.777716893860286,0.43673593054153,0.738172271088271
"OAF",972.97435937082,1.04060903046888,0.599824580080342,1.73485559783078,0.0827663855394548,0.574250654029296
"TLCD5",974.350328099485,-0.488281949784611,0.49300343126939,-0.990423025104262,0.321967395810811,0.663126006472129
"ARHGEF12",5860.21737346598,-0.009836367102607,0.526903400430359,-0.0186682551195778,0.985105752584829,0.996065614746292
"TBCEL",487.998523203445,0.0987387658485793,0.456282629848383,0.21639825710961,0.828677324711806,0.935922537933627
"SC5D",2239.9146838933,-0.657974592316327,0.486082056080863,-1.35362863961978,0.175854885069672,0.579353977045281
"SORL1",881.711982110139,-0.0429937275767503,0.297211527254333,-0.14465699891902,0.884981691844474,0.96030099658456
"UBASH3B",1192.56057344944,0.0506886588146593,0.355672182795231,0.142515105950363,0.886673148333744,0.961001550055363
"JHY",268.941408998614,-0.988248943472906,0.499579284932302,-1.97816237237864,0.0479103920617958,0.574250654029296
"HSPA8",122403.67769261,-0.702469518809159,0.400684423170657,-1.75317401472821,0.0795721419514764,0.574250654029296
"CLMP",604.703362553379,0.141649139570029,0.506102795169156,0.279882152246729,0.779567920659271,0.917034653856244
"ZNF202",460.045819116038,0.527130997925205,0.397712135237792,1.32540838264851,0.185035738203981,0.580733571917687
"TBRG1",1390.71064320881,0.556627293027357,0.443314924552842,1.25560242211292,0.20926015277402,0.591915221089022
"SIAE",788.344787113637,0.367372675283432,0.748415945859175,0.490866980208034,0.623520532560919,0.846389008045856
"SPA17",76.7678299853582,-0.726348634547315,0.673137394575594,-1.07904959730438,0.280565618363305,0.634171925769616
"NRGN",663.151469494057,-0.305941818956425,0.566533533524178,-0.540024201309469,0.589180342446129,0.830165655076878
"MSANTD2",484.450055793078,0.0105294010431469,0.516323000438828,0.0203930505404521,0.983729827564339,0.996065614746292
"ROBO3",463.242351162405,0.799381435054998,0.55789041279826,1.4328646212891,0.151896529493249,0.574250654029296
"CCDC15-DT",39.626874579935,-1.8711980191475,0.973927652782205,-1.92129057410175,0.0546950848104476,0.574250654029296
"CCDC15",311.722380988704,-0.362854697675934,0.465419957471796,-0.779628573830382,0.435609532018538,0.737313819564531
"SLC37A2",1465.90222661012,0.14602873361351,0.554150496273628,0.263518186116364,0.79215120826341,0.921650844593803
"TMEM218",479.27360958744,0.23454140315739,0.371923044974995,0.63061809781956,0.528290262624357,0.795773088292262
"PKNOX2",986.55692211541,0.451946521988953,0.707994197414779,0.63834777691572,0.523247317765685,0.791577572980296
"FEZ1",138.798147442762,-0.0696542625959818,0.443793268676383,-0.156952048424994,0.875282639425897,0.954817381460114
"EI24",6969.50875318866,-0.034241460717539,0.24981338027705,-0.137068161359348,0.890976918454555,0.963648688522659
"STT3A",6218.03096946027,0.232815340150308,0.546033378136435,0.42637565664005,0.669834136832562,0.866583115279734
"CHEK1",2011.32700033769,-0.350805417454978,0.291324246425298,-1.20417514765608,0.22852188948525,0.603639428053638
"PUS3",513.472776490246,-0.593192804940612,0.334310015339705,-1.77437940152002,0.0760004147040209,0.574250654029296
"DDX25",836.675717170513,-0.847007060043622,0.483559363567711,-1.75160926218942,0.079841018836851,0.574250654029296
"CDON",397.636177098062,0.574941529086958,0.740471332955764,0.776453460786854,0.437481289473948,0.738435546505476
"RPUSD4",2129.99830966614,-0.718621861244402,0.588902102564499,-1.22027389291872,0.222361063184655,0.599588522908095
"FAM118B",840.84278936047,-0.0168776634848634,0.497527870284351,-0.0339230513362343,0.972938511456597,0.994404087597061
"SRPRA",5984.70408932732,0.569517837104319,0.801878241051641,0.710229817880347,0.477561633012834,0.763678345280809
"FOXRED1",1641.45347140301,1.13990605919269,0.76456801918769,1.49091517116263,0.135983767724489,0.574250654029296
"TIRAP",152.286200617454,0.39087781579463,0.420725097104267,0.929057521134188,0.352859277226902,0.684975646282673
"DCPS",1802.34972617267,-0.152247295554649,0.426376566192592,-0.357072380675537,0.721037620384885,0.890539729859948
"GSEC",145.60293629991,0.533879031044628,0.45196932367803,1.18122846634819,0.237511975692033,0.60884463882417
"ST3GAL4",10329.9277374771,1.13085264401136,0.651074723398661,1.73690146978555,0.0824045639593246,0.574250654029296
"KIRREL3",69.3512075496773,0.0911864705482873,0.384606049370568,0.237090578001879,0.812586521675207,0.929663229537918
"ETS1",12605.0194814513,-0.217964796575159,0.322607032135342,-0.675635602647736,0.499272031376793,0.77669605716335
"C11orf45",81.933952757513,-0.412813096562909,0.541033945381801,-0.763007755958069,0.445458770369315,0.74447133065647
"ARHGAP32",1547.21470422221,0.188474967591131,0.706302261673946,0.266847464348257,0.789586607584116,0.920823904227181
"NFRKB",1109.81866907716,0.367671797295087,0.333986702728987,1.10085759190669,0.270958641600021,0.629158154755327
"PRDM10",633.611235511177,0.129168774990829,0.491688974324126,0.262704233236843,0.792778553712308,0.921664355263462
"APLP2",4840.34695565989,0.0995325004642756,0.547477746310832,0.181801910917792,0.855738184819382,0.946840068798205
"ZBTB44",1178.80692755145,-0.342876934292638,0.310884122375993,-1.10290912148274,0.270066632666579,0.628251730521915
"SNX19",1593.38458214773,0.0415413695027568,0.370543233202907,0.112109372889314,0.910736685788419,0.971806794198423
"NCAPD3",3927.61732145858,-0.140633047800576,0.303121062243073,-0.463950102179973,0.642683495605255,0.855165749649541
"VPS26B",1236.46564031507,0.741757167752914,0.658131944435254,1.12706452562399,0.259715200538219,0.62194955918363
"THYN1",1026.99255173512,-0.436094267249621,0.322328878202645,-1.35294817417958,0.176072187689222,0.579353977045281
"ACAD8",1217.9983053785,-0.296817980407136,0.636718541563356,-0.466168269072783,0.641095060065729,0.854823822093241
"WASH8P",666.534362067612,1.06785779477102,0.666633083338175,1.60186738621447,0.109184937821105,0.574250654029296
"RP11-283I3.6",222.789816003716,-0.966549245541587,0.444561727724097,-2.17416206853831,0.0296929659322794,0.574250654029296
"KDM5A",2744.9620071587,0.11138272020338,0.457412200505181,0.243506229349294,0.807613259998013,0.927867932964178
"CCDC77",785.732172151982,0.163571902990952,0.59610202781034,0.27440252735224,0.783775300981679,0.918824757552685
"B4GALNT3",375.814570161692,0.226177961185176,0.489605741860739,0.461959372301456,0.644110455620383,0.855727264175927
"NINJ2-AS1",37.8946364899302,-2.54952537006858,0.777642988031414,-3.27852936284122,0.00104349507566217,0.574250654029296
"WNK1",11809.2498026908,-0.2173965055044,0.65923523091123,-0.329770763622421,0.741573179985956,0.900967578333936
"RAD52",488.322962142343,0.499186525391039,0.483668073645689,1.03208492061173,0.302032337288474,0.651325523302442
"ERC1",2018.15559032882,0.258209376742337,0.497373164671342,0.51914617651911,0.603658809330948,0.836051841433208
"ADIPOR2",6213.47846725009,0.736104495177331,0.64845584088542,1.13516518591649,0.256306113315589,0.621160435335144
"DCP1B",915.201870151329,-0.0775624982937448,0.380690702345915,-0.20374150935598,0.838555502708839,0.93963842825512
"FKBP4",4060.79491418996,0.6471821697755,0.420176826103401,1.54026145558117,0.123496635128476,0.574250654029296
"ITFG2",930.956472195952,0.515467495634375,0.585469787382746,0.880433980955182,0.378624254837328,0.700834228414767
"NRIP2",135.869661602222,0.00076109532490706,0.35778925884729,0.00212721680734387,0.998302727831981,0.999600401633531
"RHNO1",1549.68309418684,-1.01788274566771e-05,0.298860219647569,-3.40588234482343e-05,0.999972824990617,0.999972824990617
"TULP3",1567.02799396623,0.197059246734036,0.712447388885888,0.276594805185817,0.782091253999324,0.918198558266842
"TEAD4",1667.77514076444,0.290978754876821,0.423463007168784,0.687140907117874,0.491993938190108,0.773260441881637
"RP11-253E3.1",70.4959302127653,-3.89156322621593,1.26662015768863,-3.07239956872104,NA,NA
"TSPAN9",1255.04621998565,0.613904054004288,0.520229849162071,1.18006311055219,0.237975115122478,0.609038503086101
"RP11-543P15.1",318.625186669499,-0.15999356202641,0.497849718630923,-0.321369192426962,0.747930626772819,0.904383737981734
"CRACR2A",809.526183702313,0.393776218275724,0.416026583962747,0.946516961788634,0.343884975089999,0.678622028706828
